Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Belfast,B1 - AFFNI55,Mussels,06/01/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,12/01/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,20/01/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,27/01/2020,No harmful species,160,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,02/02/2020,No harmful species,420,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,10/02/2020,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B1 - AFFNI55,Mussels,12/02/2020,No harmful species,140,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,17/02/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,24/02/2020,20,160,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,02/02/2020,No harmful species,80,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,09/03/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,16/03/2020,No harmful species,80,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,23/03/2020,No harmful species,560,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,30/03/2020,No harmful species,1000,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,15/04/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,27/04/2020,No harmful species,No harmful species,20,Open,
Belfast,B1 - AFFNI55,Mussels,12/05/2020,No harmful species,60,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,26/05/2020,No harmful species,420,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,08/06/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,22/06/2020,No harmful species,4120,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,14/07/2020,No harmful species,2280,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,27/07/2020,No harmful species,120,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,10/08/2020,No harmful species,11000,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,24/08/2020,No harmful species,14060,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,07/09/2020,No harmful species,120,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,21/09/2020,No harmful species,380,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,12/10/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,26/10/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,09/11/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,23/11/2020,No harmful species,60,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,14/12/2020,No harmful species,80,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,28/12/2020,No harmful species,80,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,06/01/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,12/01/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,20/01/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,27/01/2020,No harmful species,240,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,02/02/2020,No harmful species,80,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,10/02/2020,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B3 - AFFNI50,Mussels,12/02/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,17/02/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,24/02/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,02/03/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,09/03/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,16/03/2020,No harmful species,100,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,23/03/2020,No harmful species,720,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,30/03/2020,No harmful species,820,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,15/04/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,27/04/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,12/05/2020,No harmful species,260,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,26/05/2020,No harmful species,40,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,08/06/2020,20,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,22/06/2020,No harmful species,1740,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,14/07/2020,No harmful species,720,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,27/07/2020,20,260,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,10/08/2020,No harmful species,15240,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,24/08/2020,No harmful species,18120,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,07/09/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,21/09/2020,No harmful species,1260,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,12/10/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,26/10/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,09/11/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,23/11/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,14/12/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,28/12/2020,No harmful species,60,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,06/01/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,12/01/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,20/01/2020,No harmful species,320,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,27/01/2020,No harmful species,40,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,02/02/2020,No harmful species,100,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,10/02/2020,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B12 - AFFNI54,Mussels,12/02/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,17/02/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,24/02/2020,No harmful species,320,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,02/03/2020,No harmful species,40,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,09/03/2020,No harmful species,80,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,16/03/2020,No harmful species,220,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,23/03/2020,No harmful species,1360,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,30/03/2020,No harmful species,1460,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,15/04/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,27/04/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,12/05/2020,No harmful species,300,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,26/05/2020,No harmful species,160,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,08/06/2020,No harmful species,200,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,22/06/2020,60,18620,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,14/07/2020,40,3240,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,27/07/2020,40,180,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,10/08/2020,120,22800,No harmful species,Open,Investigatory email issued 12/08/2020 as D.acuminata (DSP) was present above trigger levels. 
