Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,"Other (Producers of Yessotoxins, Hepatotoxins and Icthytoxic and nuisance species)",Status,Comments
Belfast,B3 - AFFNI50,Mussels,22/10/2022,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast ,B1 - AFFNI55,Mussels ,08/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B3 - AFFNI50,Mussels,08/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B12 - AFFNI54,Mussels,08/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B20 - AFFNI53,Mussels,08/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,09/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Killough ,K1 - AFFNI18,Oysters,09/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Lough Foyle,Production Area 3,Oysters/Mussels,09/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 4 ,Oysters/Mussels,09/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford,S2 - AFFNI42,Mussels,09/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford,S7 - AFFNI76,Oysters,09/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,C1 - AFFNI27,Mussels,16/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters ,16/01/2023,No harmful species identified ,160,No harmful species identified ,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters ,16/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,Narrow Water Wild Fishery,Mussels,16/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Lough Foyle,Production Area 3 ,Oysters/Mussels,23/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 4 ,Oysters/Mussels,23/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford,S2 - AFFNI42,Mussels,23/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford,S7 - AFFNI76,Oysters,23/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters ,24/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Killough,K1 - AFFNI18,Oysters ,24/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Belfast,B1 - AFFNI55,Mussels ,30/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B3 - AFFNI50,Mussels,30/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B12 - AFFNI54,Mussels,30/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B20 - AFFNI53,Mussels,30/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,C1 - AFFNI27,Mussels ,30/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters,30/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,30/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,Narrow Water Wild Fishery,Mussels,30/01/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,06/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Killough ,K1 - AFFNI18,Oysters ,06/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Strangford,S2 - AFFNI42,Mussels,06/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford,S7 - AFFNI76,Oysters,06/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast ,B1 -AFFNI55,Mussels ,13/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B3 - AFFNI50,Mussels,13/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B12 - AFFNI54,Mussels,13/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
